USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Source
"
New York ","75,983 ","
","
1,714 ", ,"
69,294 ","
[1] [2] [3] [4] [5] [6] [7] [8]  "
"
New Jersey ","18,696 ","
","
267 ", ,"
18,429 ","
[1]  "
"
California ","8,548 ","
+44 ","
181 ",+1 ,"
7,517 ","
[1]  "
"
 Michigan ","7,615 ","
","
259 ", ,"
7,351 ","
[1] [2]  "
"
Florida ","6,741 ","
","
85 ", ,"
6,656 ","
[1] [2]  "
"
Massachusetts ","6,620 ","
","
89 ", ,"
6,521 ","
[1] [2]  "
"
Illinois ","5,994 ","
","
99 ", ,"
5,893 ","
[1] [2] [3]  "
"
Washington ","5,482 ","
","
225 ", ,"
4,767 ","
[1] [2] [3] [4] [5] [6] [7]  "
"
Louisiana ","5,237 ","
","
239 ", ,"
4,998 ","
[1] [2]  "
"
Pennsylvania ","4,961 ","
","
63 ", ,"
4,898 ","
[1] [2] [3] [4]  "
"
Georgia ","4,117 ","
","
125 ", ,"
3,992 ","
[1] [2] [3]  "
"
Texas ","3,666 ","
","
56 ", ,"
3,503 ","
[1] [2]  "
"
Connecticut ","3,128 ","
","
69 ", ,"
3,059 ","
[1] [2] [3]  "
"
Colorado ","2,966 ","
","
69 ", ,"
2,897 ","
[1]  "
"
Tennessee ","2,389 ","
","
23 ", ,"
2,245 ","
[1] [2]  "
"
Ohio ","2,199 ","
","
55 ", ,"
2,144 ","
[1]  "
"
Indiana ","2,159 ","
","
49 ", ,"
2,110 ","
[1]  "
"
Maryland ","1,660 ","
","
18 ", ,"
1,589 ","
[1] [2]  "
"
North Carolina ","1,536 ","
","
8 ", ,"
1,523 ","
[1] [2]  "
"
Wisconsin ","1,351 ","
","
25 ", ,"
1,324 ","
[1] [2] [3]  "
"
Missouri ","1,327 ","
","
14 ", ,"
1,311 ","
[1]  "
"
Arizona ","1,289 ","
","
24 ", ,"
1,262 ","
[1]  "
"
Virginia ","1,250 ","
","
27 ", ,"
1,221 ","
[1]  "
"
Nevada ","1,113 ","
","
18 ", ,"
1,095 ","
[1] [2]  "
"
South Carolina ","1,083 ","
","
 22 ", ,"
1,061 ","
[1]  "
"
Alabama ",993 ,"
","
23 ", ,"
970 ","
[1] [2]  "
"
Mississippi ",937 ,"
","
20 ", ,"
917 ","
[1]  "
"
Utah ",887 ,"
","
5 ", ,"
882 ","
[1] [2]  "
"
Oregon ",690 ,"
","
18 ", ,"
672 ","
[1] [2] [3]  "
"
Minnesota ",629 ,"
","
12 ", ,"
483 ","
[1]  "
"
Kentucky ",591 ,"
","
17 ", ,"
510 ","
[1]  "
"
Oklahoma ",565 ,"
","
23 ", ,"
541 ","
[1]  "
"
Idaho ",525 ,"
","
9 ", ,"
516 ","
[1] [2]  "
"
Arkansas ",523 ,"
","
8 ", ,"
480 ","
[1] [2]  "
"
Iowa ",497 ,"
","
 7 ", ,"
472 ","
[1] [2] [3]  "
"
District Of Columbia ",495 ,"
","
9 ", ,"
435 ","
[1]  "
"
Rhode Island ",488 ,"
","
8 ", ,"
480 ","
[1] [2]  "
"
Kansas ",428 ,"
","
9 ", ,"
419 ","
[1] [2]  "
"
New Hampshire ",367 ,"
","
3 ", ,"
308 ","
[1] [2]  "
"
Delaware ",319 ,"
","
10 ", ,"
287 ","
[1] [2] [3]  "
"
New Mexico ",315 ,"
","
5 ", ,"
310 ","
[1] [2]  "
"
Maine ",303 ,"
","
5 ", ,"
230 ","
[1] [2]  "
"
Vermont ",293 ,"
","
13 ", ,"
280 ","
[1]  "
"
Hawaii ",224 ,"
","
1 ", ,"
165 ","
[1]  "
"
Montana ",198 ,"
","
5 ", ,"
193 ","
[1] [2]  "
"
Nebraska ",177 ,"
","
3 ", ,"
174 ","
[1] [2] [3]  "
"
West Virginia ",162 ,"
","
1 ", ,"
161 ","
[1]  "
"
North Dakota ",122 ,"
","
3 ", ,"
94 ","
[1]  "
"
Wyoming ",120 ,"
","
", ,"
94 ","
[1] [2]  "
"
Alaska ",119 ,"
","
3 ", ,"
116 ","
[1] [2]  "
"
South Dakota ",108 ,"
","
1 ", ,"
73 ","
[1]  "
"
Guam ",69 ,"
","
2 ", ,"
60 ","
[1]  "
"
Northern Mariana Islands ",6 ,"
+4 ","
", ,"
6 ","
[1]  "
"
Puerto Rico ",239 ,"
","
8 ", ,"
227 ","
[1] [2]  "
"
United States Virgin Islands  ",30 ,"
","
", ,"
9 ","
[1]  "
"
Wuhan Repatriated ",3 ,"
","
", ,"
3 ","
"
"
Diamond Princess Cruise ",46 ,"
","
", ,"
46 ","
"
Total:,"188,578",48,"4,054",1,"177,273", 
