USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
USA Total,"311,635",+278,"8,454",+2,"288,356",941,26,"1,632,955","4,933", 
"
New York ","114,775 ","
","
3,565 ", ,"
100,732 ","5,850",182,"
283,621 ","14,457","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10]  "
"
New Jersey ","34,124 ","
","
846 ", ,"
33,278 ","3,842",95,"
75,356 ","8,484","
[1] [2]  "
"
Michigan ","14,225 ","
","
540 ", ,"
13,680 ","1,429",54,"
37,992 ","3,815","
[1] [2] [3]  "
"
California ","13,927 ","
+278  ","
321 ",+2 ,"
12,706 ",356,8,"
113,700 ","2,904","
[1] [2]  "
"
Louisiana ","12,496 ","
","
409 ", ,"
12,047 ","2,679",88,"
58,498 ","12,543","
[1]  "
"
Massachusetts ","11,736 ","
","
216 ", ,"
11,510 ","1,718",32,"
68,800 ","10,073","
[1] [2]  "
"
Florida ","11,545 ","
","
195 ", ,"
11,350 ",560,9,"
107,313 ","5,210","
[1] [2]  "
"
Pennsylvania ","10,415 ","
","
136 ", ,"
10,212 ",814,11,"
70,030 ","5,475","
[1] [2] [3] [4]  "
"
Illinois ","10,357 ","
","
243 ", ,"
10,112 ",808,19,"
53,581 ","4,179","
[1] [2] [3] [4]  "
"
Washington ","7,591 ","
","
314 ", ,"
6,714 ","1,041",43,"
87,918 ","12,053","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12]  "
"
Georgia ","6,383 ","
","
208 ", ,"
6,144 ",620,20,"
26,294 ","2,553","
[1] [2] [3]  "
"
Texas ","6,359 ","
","
111 ", ,"
5,699 ",228,4,"
63,751 ","2,286","
[1] [2] [3] [4] [5]  "
"
Connecticut ","5,276 ","
","
165 ", ,"
5,111 ","1,473",46,"
22,029 ","6,151","
[1] [2] [3]  "
"
Colorado ","4,565 ","
","
126 ", ,"
4,439 ",825,23,"
23,900 ","4,321","
[1]  "
"
Indiana ","3,953 ","
","
116 ", ,"
3,837 ",596,17,"
19,800 ","2,983","
[1] [2]  "
"
Ohio ","3,739 ","
","
102 ", ,"
3,637 ",321,9,"
41,871 ","3,597","
[1]  "
"
Tennessee ","3,321 ","
","
43 ", ,"
2,862 ",499,6,"
41,391 ","6,223","
[1] [2] [3]  "
"
Maryland ","3,125 ","
","
53 ", ,"
 2,913 ",521,9,"
25,610 ","4,266","
[1]  "
"
North Carolina ","2,509 ","
","
33 ", ,"
2,436 ",247,3,"
38,773 ","3,818","
[1] [2]  "
"
Virginia ","2,407 ","
","
52 ", ,"
2,353 ",286,6,"
21,552 ","2,562","
[1]  "
"
Missouri ","2,291 ","
","
36 ", ,"
2,253 ",376,6,"
26,840 ","4,407","
[1] [2]  "
"
Wisconsin ","2,112 ","
","
56 ", ,"
2,054 ",365,10,"
25,971 ","4,495","
[1] [2]  "
"
Arizona ","2,019 ","
","
52 ", ,"
1,964 ",291,7,"
27,160 ","3,910","
[1]  "
"
South Carolina ","1,917 ","
","
40 ", ,"
1,877 ",387,8,"
18,097 ","3,652","
[1]  "
"
Nevada ","1,742 ","
","
46 ", ,"
1,666 ",596,16,"
19,119 ","6,541","
[1] [2]  "
"
Alabama ","1,633 ","
","
44  ", ,"
1,589 ",336,9,"
10,829 ","2,226","
[1]  "
"
Mississippi ","1,455 ","
","
35 ", ,"
1,420 ",487,12,"
0 ",,"
[1]  "
"
Utah ","1,428 ","
","
8 ", ,"
1,409 ",469,3,"
28,043 ","9,208","
[1]  "
"
Oklahoma ","1,159 ","
","
42 ", ,"
1,116 ",296,11,"
2,303 ",588,"
[1]  "
"
Idaho ","1,025 ","
","
10 ", ,"
1,015 ",607,6,"
 0 ",,"
[1] [2]  "
"
Oregon ",999 ,"
","
26 ", ,"
973 ",245,6,"
18,925 ","4,636","
[1] [2] [3]  "
"
Kentucky ",917 ,"
","
40 ", ,"
813  ",207,9,"
16,663 ","3,753","
[1] [2]  "
"
District Of Columbia ",902 ,"
","
21 ", ,"
708 ","1,318",31,"
6,438 ","9,405","
[1]  "
"
Minnesota ",865 ,"
","
24 ", ,"
 401 ",156,4,"
25,423 ","4,599","
[1] [2]  "
"
Rhode Island ",806 ,"
","
17 ", ,"
789 ",763,16,"
4,397 ","4,161","
[1] [2] [3] [4]  "
"
Iowa ",786 ,"
","
14 ", ,"
704 ",251,4,"
9,453 ","3,018","
[1] [2] [3] [4]  "
"
Arkansas ",743 ,"
","
14 ", ,"
650 ",248,5,"
9,822 ","3,284","
[1] [2]  "
"
Kansas ",698 ,"
","
21 ", ,"
677 ",240,7,"
7,578 ","2,605","
[1] [2] [3]  "
"
New Hampshire ",621 ,"
","
9 ", ,"
468 ",462,7,"
8,032 ","5,978","
[1] [2] [3]  "
"
Delaware ",593 ,"
","
14 ", ,"
508 ",625,15,"
6,467 ","6,811","
[1] [2] [3]  "
"
New Mexico ",546 ,"
","
11 ", ,"
481 ",261,5,"
16,831 ","8,044","
[1] [2]  "
"
Vermont ",461 ,"
","
20 ", ,"
441 ",738,32,"
5,844 ","9,351","
[1]  "
"
Maine ",456 ,"
","
10 ", ,"
306 ",342,8,"
0 ",,"
[1] [2]  "
"
Hawaii ",351 ,"
","
3 ", ,"
290 ",247,2,"
12,278 ","8,634","
[1]  "
"
Nebraska ",321 ,"
","
6 ", ,"
315 ",169,3,"
5,389 ","2,829","
[1] [2] [3]  "
