id_str,created_at,state,sentiment,Tweet,Evaluator,Rating
1.23E+18,Mon Mar 02 02:31:01 +0000 2020,Washington,neutral,covid kingcounty,Allen,Neutral
1.23E+18,Mon Mar 02 02:55:14 +0000 2020,Maryland,neutral,washington state reports second coronavirus death,Allen,Negative
1.23E+18,Mon Mar 02 02:55:26 +0000 2020,New York,positive,announcing first positive case covid new york city already identified close contacts individual may exposed take appropriate measures prevent spread covid,Allen,Positive
1.23E+18,Mon Mar 02 02:10:10 +0000 2020,Texas,positive,people get coronavirus whole world wants wear surgical mask million people aids still nobody wants wear condom,Allen,Negative
1.24E+18,Mon Mar 16 01:26:36 +0000 2020,Texas,positive,theres drive thru covid test north austin domain brockton drive austin tx fill online questionaire first getting tested,Allen,Neutral
1.24E+18,Mon Mar 16 01:51:43 +0000 2020,California,positive,footage shows police new orleans attempting clear bourbon street louisianas governor signed proclamation banning gatherings people amid coronavirus outbreak,Allen,Negative
1.23E+18,Mon Mar 02 02:11:55 +0000 2020,Illinois,neutral,time bring home manufacturing drug ingredients coming china fda says shortages begun,Allen,Negative
1.23E+18,Mon Mar 02 02:33:27 +0000 2020,Pennsylvania,neutral,repswalwell protip never listen biff democrat anything ever meet deborah l birx american physician diplomat coronavirus response coordinator white house birx served ambassadoratlarge united states global aids coordinator since,Allen,Negative
1.23E+18,Mon Mar 02 02:10:47 +0000 2020,South Carolina,positive,trump waited months corona virus became pandemic amp us deaths occurred declare public health emergency media would crash stock market hysteria obama it good,Allen,Negative
1.24E+18,Mon Mar 16 01:50:51 +0000 2020,Missouri,neutral,onairwill shirt taking advantage global pandemic profit family business immoral,Allen,Negative
1.23E+18,Mon Mar 02 02:55:30 +0000 2020,Pennsylvania,negative,cant wait white girls start lookin like white girls cause epidemic cycle kardashians steal black women white women want copy them call white people amp wonder wrong cause minds copied kardashians,Allen,Negative
1.24E+18,Mon Mar 16 01:50:02 +0000 2020,Georgia,positive,really unseemly bernie praising communist china middle global pandemic started,Allen,Negative
1.23E+18,Mon Mar 02 02:11:09 +0000 2020,Texas,negative,chinas lockdown measures minimize coronavirus infections created one unexpected benefit dramatic improvement nations air quality,Allen,Positive
1.23E+18,Mon Mar 02 02:11:30 +0000 2020,Virginia,negative,trump throws tanturm calls outlets report coronavirus fake news via politicususa,Allen,Neutral
1.24E+18,Mon Mar 16 01:26:18 +0000 2020,Texas,negative,downtown nashville brought knees covid joke emergency physicians critical condition fighting lives exposed sure get drank on janna stupidity cost people lives covid,Allen,Negative
1.23E+18,Mon Mar 02 02:32:38 +0000 2020,Mississippi,positive,gallup poll numbers handling situation outstanding best thank you,Allen,Positive
1.24E+18,Mon Mar 16 01:48:10 +0000 2020,Texas,positive,one candidate obvious dementia one candidate heart disease debating coronavirus news network good times,Allen,Positive
1.23E+18,Mon Mar 02 02:53:54 +0000 2020,North Carolina,negative,kzhowell lab corp country cdc trying profit using central lab people going go jail,Allen,Negative
1.24E+18,Mon Mar 16 01:26:13 +0000 2020,Illinois,negative,help us schools communities serve maintain continuity learning event prolonged school closures due coronavirus discovery education created threepronged response read,Allen,Neutral
1.24E+18,Mon Mar 16 01:50:03 +0000 2020,Wisconsin,negative,know president big job find increasingly weird much debate dedicated things pandemic could possibly one convulsive things happen country since last world war,Allen,Negative
1.23E+18,Mon Mar 02 02:33:29 +0000 2020,,positive,gallup poll numbers handling situation outstanding best thank you,Allen,Positive
1.23E+18,Mon Mar 02 02:51:54 +0000 2020,Texas,positive,sleepy joe biden also said guns killed million americans last year wants win georgia super tuesday not up got speaking location wrong again,Allen,Negative
