screen_name,created_at,location,source,hashtags,text
manonatelier,2020-04-10 22:40:57,"New York, USA",Twitter Web App,,"By now, everyone is all too familiar with COVID-19, but do you understand how it actually affects your body? I made this poster to try to summarize the main events that occur following infection. I hope you learn something! 
#sciart #scicomm #coronavirus #covid19 https://t.co/j3Kr47pNY1"
sarah_sarce,2020-04-10 22:40:57,Canada,Twitter for iPad,,"👨‍⚕️👩‍⚕️ Remember - always consult a qualified healthcare professional before taking antibiotics. Antibiotics don't work against viruses like #COVID19 virus.  

For more information on COVID-19 ➡️ https://t.co/C3mt4k815w 

#coronavirus

(ENDS) https://t.co/o3Gq9M1bFl"
zar_arc,2020-04-10 22:40:53,,Twitter for Android,,"By now, everyone is all too familiar with COVID-19, but do you understand how it actually affects your body? I made this poster to try to summarize the main events that occur following infection. I hope you learn something! 
#sciart #scicomm #coronavirus #covid19 https://t.co/j3Kr47pNY1"
ariel__hn,2020-04-10 22:40:53,Tegucigalpa,Twitter for iPhone,,"New ideas and many channels of communication: during the Coronavirus disease (COVID-19) pandemic and with Easter coming up, an international group of pastors exchanged thoughts. 

#COVID19

https://t.co/sPV5zUnw1z"
katy1434,2020-04-10 22:40:48,,Twitter Web App,Coronavirus,"Breakdown of #Coronavirus cases over USA states:

New York 172,358
New Jersey 54,588
Michigan 22,783
Massachusetts 20,974
California 20,917
Pennsylvania 20,340
Louisiana 19,253
Florida 17,968
Illinois 17,887
Texas 12,186

Massachusetts jumps to 4th place.

#COVID_19 #COVID19 https://t.co/B2ITHYrVMe"
boomboat,2020-04-10 22:40:31,"Toronto, On.",dlvr.it,,"When COVID-19 Deferrals End, Better Collection Programs Will Be Critical https://t.co/Jqeo71jUlW"
HolyFool2019,2020-04-10 22:40:29,"Massachusetts, USA",Twitter Web App,"Coronavirus, COVID19, Lawrencema","DPH COUNTS 4/10/20:
JUST STAY HOME!
Lawrence Deaths - 12
Confirmed Cases of #Coronavirus #COVID19
#Lawrencema - 574 (could be 10-25X)
Essex - 2,670
Mass - 20,974
COVID-19 Massachusetts Deaths - 599

THESE #'s ARE MISLEADING. ACT AS IF EVERYONE HAS IT.
JUST STAY HOME! https://t.co/SNzlBYEcpp"
capecodgirl13,2020-04-10 22:40:27,"Archdale, NC",Twitter for iPhone,COVID19,Our #COVID19 test results are now available to healthcare providers between 2-4 days from the date of specimen pick up. Stay tuned as we make other improvements to decrease the time patients need to wait to receive their results. More info: https://t.co/fPbYLOhFRT https://t.co/ws21Ebi4Pd
andyyourglivch,2020-04-10 22:40:27,"Norwich, Norfolk, England",Twitter Web App,COVID19,"Let's learn from the first 100 days of the #COVID19 pandemic in Asia and the Pacific.

New @unwomenasia report explains how women are hit harder by the socio-economic impacts of the #coronavirus and outlines the way forward for recovery. https://t.co/VX9CJ0pg2J"
hatcatfat,2020-04-10 22:40:19,,Twitter for iPad,COVID19,"Albert Chambers, a 99-year-old war veteran, has thanked NHS nurses who cared for him while he had #COVID19, which he has now recovered from.

Read more about the UK #coronavirus outbreak: https://t.co/TZBDK9XaMG https://t.co/KfMkS4DdCn"
CulturalHistory,2020-04-10 22:40:15,"Troy, NY",Twitter Web App,,"Thanks to @Teamsters848 leaders and members, in partnership with @LALabor, the LA Regional Food Bank fed more than 900 families impacted by the #coronavirus crisis over the last few weeks in Long Beach, CA. 💪
#1u #Teamsters #COVID19
https://t.co/7oglktOisZ https://t.co/9iOLQBYZSz"
RedsReporter,2020-04-10 22:40:08,Way down the rabbit hole,Tweetbot for iΟS,,"By now, everyone is all too familiar with COVID-19, but do you understand how it actually affects your body? I made this poster to try to summarize the main events that occur following infection. I hope you learn something! 
#sciart #scicomm #coronavirus #covid19 https://t.co/j3Kr47pNY1"
prudinx,2020-04-10 22:40:06,"perth, WA",Twitter for iPad,,Landlords asking for sex instead of rent during COVID-19 crisis https://t.co/baeNZr7aYd
IdeaGov,2020-04-10 22:40:06,USA ,Twitter Web App,,"It is imperative that the County take all reasonable and necessary steps to protect consumers from price gouging during this emergency
#Coronavirus #COVID19 @LACountyDCBA
https://t.co/yk2UvYvsXe"
getprobus,2020-04-10 22:40:02,"Tucson, Arizona",Buffer,"SocialDistancing, COVID19, instacartstrike","Instacart's response to shoppers, amid the COVID-19 pandemic, is insulting and despicable.  
#SocialDistancing #COVID19 #instacartstrike 
https://t.co/GPGsnOAeGY https://t.co/lNrR0binvq"
benhaygood,2020-04-10 22:40:02,Global events / Jersey action,Twitter for iPhone,COVID19,"JUST RELEASED: @JHSPH_CHS and @ASTHO have released a new report, “A National Plan to Enable Comprehensive #COVID19 Case Finding and Contact Tracing in the U.S.”

The report outlines key next steps in the battle against the novel #coronavirus.

🔗 https://t.co/BGbLfQGgqx https://t.co/SbEhZurMnm"
