screen_name,created_at,location,source,hashtags,text
abigailcolter51,2020-04-21 16:17:46,"Oregon, USA",Twitter Web App,,"@kylegriffin1 @AmandiOnAir Russia helped defeat Hillary Clinton, a reality that will never be told on FOX. Trumpers will go to their graves hating the woman who rightfully should have been the 1st woman president. If Hillary were in charge she would use the Defense Protection Act to fight Covid-19. ERGH 😡"
frankbergh,2020-04-21 16:17:46,"North Lawndale, Chicago, USA",Twitter for Android,,"COVID-19 OUTBREAKS IN HOMELESS SHELTERS THREATEN TO OUTPACE CITY RESPONSE

https://t.co/5f4qeRhFI8

Tell @chicagosmayor to lease up the 2,000 vacant CHA units to homeless residents in need IMMEDIATELY &amp; #HouseUsAll!

➡️  https://t.co/PNkHjRdulq 📨
➡️  https://t.co/dFzQ7G3yZN 📞"
johnblank100,2020-04-21 16:17:45,"Carpinteria, CA",Twitter for iPad,"coronavirus, DowningStreetBriefing",Oxford Team working on a Covid-19 vaccine. Human Trials to start this Thursday. #coronavirus #DowningStreetBriefing
Lnewman16Lee,2020-04-21 16:17:45,"Waukesha, WI",Twitter Web Client,,Dr. Sanjay Gupta condemns Georgia's early reopening: 'The virus is still out there' https://t.co/3qZKYYrCly
derbymuseum,2020-04-21 16:17:45,"Louisville, KY",Sprout Social,"KentuckyDerby, DerbyEveryday, MuseumFromHome","Fun photo! Do you recognize this famous face? Visit our Virtual Museum to see if you're right! 

See what other celebrities have attended the #KentuckyDerby on our Virtual Museum page here: https://t.co/7CvPo2VWE4

📷 : Churchill Downs Racetrack

#DerbyEveryday #MuseumFromHome https://t.co/5GFxjC2cQ3"
delvin_hargrove,2020-04-21 16:17:44,"Delaware, OH",Twitter for iPhone,,"But I should be grateful that the COVID-19 affected the rest of the second half of DACC Hospitality, because I get treated poorly for absolutely nothing so easily. So bye bye hospitality torture of strictness, see ya never."
jeepjohn,2020-04-21 16:17:44,"Muddy Gap, Wyoming",Twitter Web App,,"@glennkirschner2 My mom warned me about covid-19 before tRump did. 
I trust my mom more than tRump.
I got an email on March 3rd through her chain of doctors to start preparing for the pandemic. 
I trust that email more than tRump. 
Everything tRump is, is a lie.
He lies to us to gain power. https://t.co/0GDh7F3Nbc"
bobsmietana,2020-04-21 16:17:44,Nashville TN,Twitter Web App,,"Due to the many changes happening with COVID-19, construction for Jefferson Beautiful has been delayed to Spring 2021. Until then, be safe and home and keep enjoying periodic walks (with physical distancing practices!) and bike rides! https://t.co/Pr0A2w449h"
rlamartini,2020-04-21 16:17:44,South Louisiana,Twitter for iPhone,,@JonathanTurley The Dems and their media partners in crime are constantly proving the truth that are using COVID-19 as their latest fake news desperate hoax to attempt to damage the POTUS enough to improve there odds of winning this fall.
Ed_AlbrigoCIT,2020-04-21 16:17:44,"Herndon, VA",Twitter Web App,,"I'm very proud of the CIT team and our partners, including UPS, DroneUp and Workhorse Group, to test innovative solutions for the delivery of covid-related medical supplies swiftly and safely. https://t.co/ZlvRJKQbPJ"
freeriderprob,2020-04-21 16:17:44,"Ohio, USA",Twitterrific for iOS,,"4/ Since the flu and even cold viruses can be deadly to the elderly, this raises the obvious question of whether people whose deaths are classified as “probable” #COVID - that is, they don’t have a positive #SARS_CoV2 test result but appear to have died of respiratory illness..."
mbmarbon,2020-04-21 16:17:44,"Traverse City, MI",Twitter for iPad,,Trump White House sidelining Surgeon General following his comments on the threat that COVID-19 poses for communities of color: report https://t.co/t3z7jE4A93 https://t.co/muCnTSFE2p
LarinaKonold,2020-04-21 16:17:44,"Washington, DC",Twitter Web App,,"COVID-19 deaths reported per million inhabitants

New York 989
Belgium 518
New Jersey 493
Spain 455
Italy 399
Connecticut 372
France 310
Louisiana 285
Massachusetts 265
UK 255
Michigan 248
Netherlands 229
Sweden 175
Pennsylvania 105
Illinois 105
Denmark 64
Iran 63
Norway 34"
hylkatheology,2020-04-21 16:17:44,"Joliet, Illinois",Twitter for iPhone,,"BREAKING NEWS: Franciscan University of Steubenville is taking an unprecedented and bold ""Step in Faith"" to support students and families affected by COVID-19. 

Learn more about how you or your student can take advantage of this opportunity.

https://t.co/5BU5jrZ0s6 https://t.co/84w0gB80Gq"
gilmored85,2020-04-21 16:17:43,"New York, NY",Twitter for iPhone,,"Moral of the story: Richard Epstein's hackishness and utter stupidity is actually impossible to satirize. My joke that he was just going to keep adding zeroes to his ""estimate"" of covid-19 deaths came true less than three weeks later.

Nobody should ever take him seriously."
checkcall34,2020-04-21 16:17:43,"Fort Lauderdale, FL",Twitter for iPhone,,@joseCue66953415 @RepShalala @realDonaldTrump You are saying flu deaths are being coded as COVID deaths? That’s makes pretty much no sense. Flu test is the simplest test ever. You can determine pneumonia with a simple chest X-ray. If anything when we were very low on tests COVID deaths were being miscoded.
40Parks,2020-04-21 16:17:43,"Omaha, NE",Twitter for iPhone,,"@CBKimbrell I think we were poised for $2 corn regardless of COVID-19 and oil prices. If we have good spring weather, and this crop gets in early with good planting conditions, I think this market is far from its low, unfortunately."
rw_briggs,2020-04-21 16:17:43,"Philadelphia, PA",Twitter Web App,,"Jalisa McCall has spent weeks trying to find a spot in Philadelphia’s homeless shelter system.

She says she’d risk taking a room at the Holiday Inn Express, but despite its vacancies, it’s still only open to people who have tested positive for COVID-19. 

https://t.co/aphcUb6xk7"
LyynnYaney,2020-04-21 16:17:42,"Danville, CA",Twitter for iPhone,,"Yes, Trump's immigration Exec Order is a ploy to distract from his failed COVID-19 response. Yes, he's unsure as to whether the court will overturn it. But it'd be a mistake to dismiss it as a ploy. It's the next trial balloon as he warms up to a much bigger power grab this year."
mccormick1942,2020-04-21 16:17:42,"North Las Vegas, NV",Twitter for iPad,"COVID19, Rakhine, Myanmar","We are shocked with  fatal shooting involving a @WHO vehicle carrying #COVID19 test samples in #Rakhine #Myanmar; sincere condolences to family of Mr Pyae Sone Win Maung who lost his life on duty.
#Humanitarian &amp; #COVID19 frontline workers are #NotATarget
https://t.co/658f7Vbbhc"
Jcwalkersailor,2020-04-21 16:17:42,"San Diego, CA",Twitter for iPhone,,"Missing our Jets in action! Our Men’s Volleyball team was ranked #5 prior to the Covid-19 Stay-At-Home orders were put in place!
#gojets #jetsathletics #jucovolleyball #mensvolleyball #cccaa @PcacSports https://t.co/C9c9vfWjOC"
msislandlady,2020-04-21 16:17:41,Maryland,Twitter for iPhone,,COVID-19 is forcing hopeful parents-to-be to put their family dreams on pause via @iamwellandgood https://t.co/A0iOCkxngQ
LittleMissC,2020-04-21 16:17:41,"Des Moines, IA",Twitter Web App,,Iowa's rise in daily new COVID-19 cases: https://t.co/itYi26Tg9e
ueunion,2020-04-21 16:17:41,"Pittsburgh, PA",Twitter Web App,1u,"“Attempts to force people to go back to work when it's not safe for them to do so is a horrendous, murderous policy.” UE President Carl Rosen spoke with @sarahlazare of @inthesetimesmag about the push by anti-union forces to re-open the economy #1u https://t.co/pNSAW4zjI0"
JaberChefDC,2020-04-21 16:17:41,"Washington, DC",Twitter for iPhone,,"FREE breakfast &amp; lunch options for ALL students – including non-DCPS students – available every weekday. Visit https://t.co/p58qdBAUwZ for a list of meal sites near you.

For add'l info including grocery distribution sites &amp; senior meal delivery, visit:https://t.co/hf46mUzpyU https://t.co/zxx3s4Flut"
mvcsc_district,2020-04-21 16:17:41,"Fortville, Indiana",Twitter Web App,WeRMV,Requesting Your Voice! Please take a few moments to answer 3 questions in regards to your COVID-19 experience with MVCSC. https://t.co/bv9CugnLQi Visit these questions often &amp; rank other's thoughts! #WeRMV https://t.co/2Qk49AGJAR
RealMidniteBlu,2020-04-21 16:17:41,"Seattle, WA",Instagram,"ItsBlu, G33kSquad, g33ksquadbidness, undergroundartists, quarantinelife, quarantine, covid, staysafe","“Anyone who has nothing to lose will help you lose everything”...Be Safe &amp; Stay Dangerous 💯💪🏿
.
📸 @ALXJ_ 
.
 #ItsBlu #G33kSquad #g33ksquadbidness #undergroundartists #quarantinelife #quarantine #covid #staysafe… https://t.co/TKsKRN50DV"
drweitl,2020-04-21 16:17:40,Midwest USA,Twitter Web App,,"CNN's April Ryan Asks If Stay At Home Protestors Should Refuse Medical Care If They Contract COVID 

This is just sickening...

https://t.co/AlL59E0xMh"
EntStrategyGuy,2020-04-21 16:17:40,"Los Angeles, CA",Twitter Web App,,"This thread is partly why I'm bullish on theater re-openings by late June.

There is a chance that COVID-19 Is much less lethal than currently understood. And treatments are getting better. This changes the underlying math. https://t.co/80ZHFGKyib"
weeniehutjuni0r,2020-04-21 16:17:40,"Lexington, SC",Twitter for Android,,COVID-19 hearing some States are opening public businesses as early as Friday. https://t.co/UQZl2wdRh4
NYCDCA,2020-04-21 16:17:40,"New York, NY",Twitter Web App,,"For more information on worker protections including a summary of City labor laws for employers and employees as you deal with the impact of COVID-19 on your workplace, visit https://t.co/ucBOE6FnQb."
NYCDCA,2020-04-21 16:17:40,"New York, NY",Twitter Web App,,"ICYMI: We held a virtual “Know Your Rights” town hall with sister agencies to discuss worker protections impacted by COVID-19. 

https://t.co/Yjj4wghYzh"
greendailynews,2020-04-21 16:17:39,"Hackensack, NJ",Hootsuite Inc.,,Air pollution may be ‘key contributor’ to Covid-19 deaths – study  https://t.co/8t5KvZw5c3 https://t.co/NmQK02qU9h
CaptFacetious,2020-04-21 16:17:39,"Dallas, Texas",Twitter Web App,,"I went to the grocery store and bought my own birthday cake.

I wish I could blame Covid-19, but in truth my birthdays are pretty much all like this."
Chris_Ciaccia,2020-04-21 16:17:39,"Hoboken, NJ",TweetDeck,,"Update from Mayor @RaviBhalla:

-1 new confirmed case (396 total), 2 unfortunate fatalities

-Reduced COVID-19 cases at HUMC

-Remaining vigilant to reduce spread in Hoboken

-Impact of COVID-19 to City finances

-Antibody testing options

-Hazardous weather advisory issued https://t.co/tTRMyq7t7i"
4rcLight,2020-04-21 16:17:39,Brooklyn NY,Twitter Web App,,COVID-19 hearing some States are opening public businesses as early as Friday. https://t.co/UQZl2wdRh4
JuliaEMcCoy,2020-04-21 16:17:39,"Austin, TX",Twitter Web Client,,How COVID-19 Affected The Online Marketing Industry https://t.co/A4N4n0URm2?
SRepasky,2020-04-21 16:17:39,"Lake San Marcos, CA",Twitter for iPhone,,"Laura Loomer, “As a result of the COVID-19 lockdown, 22 mil+ Americans R unemployed, &amp; while Americans struggle to pay rent &amp;feed their families. 

It’s time 4 Pelosi’s paycheck to be frozen like her luxury freezer full of gourmet ice cream.”

Plz Donate 
https://t.co/iGp2WEY628 https://t.co/87v96685s0"
gilmored85,2020-04-21 16:17:39,"New York, NY",Twitter for iPhone,,"Richard Epstein, the conservative legal scholar, thinks he knows better than actual epidemiologists. He originally ""projected"" that covid-19 would only kill 500 people in the U.S. &amp; then ""revised"" this to 5,000.

I joked that he was just going to keep adding zeroes, and he is! https://t.co/KZPmRFJbTh"
jeleviste,2020-04-21 16:17:39,"Rancho Cucamonga, CA",Twitter for iPhone,,"“I would never pick money over putting someone’s life in danger,” Atlanta salon owner Jamie Booth says, vowing to remain closed despite Gov. Brian Kemp’s re-opening order. https://t.co/o6fOJHQk7r"
JoshX1993,2020-04-21 16:17:39,"New York, NY",Twitter for Android,CoronavirusPandemic,Through all the sadness in the #CoronavirusPandemic pandemic there are stories of hope. We spoke to two New Yorkers who didn't think they'd make it out of the hospital. Both are now home recovering and getting stronger every day. https://t.co/E1DiOuZFaM
cindyscott54,2020-04-21 16:17:39,"Clermont, FL",Twitter for Android,,"Coronavirus updates: Almost 2.5 million people have caught COVID-19. About 659,000 of those diagnosed have recovered, but it has killed more than 170,000 people. About a quarter of those deaths — more than 42,300 — have been recorded in the United States.  https://t.co/MIfouuWlAZ"
HildaBikes,2020-04-21 16:17:39,"Brooklyn, NY",Twitter for iPhone,,"A huge thank you to @jessiesingernyc &amp; @TransAlt for highlighting the NYC sidewalk width maps I made, and capturing the story behind them! #OpenStreets https://t.co/DZvBXdu25Q"
Erikocss,2020-04-21 16:17:38,"Mid West, USA",Twitter Web App,,"😳FINES &amp; JAIL TIME if you don’t stay IN YOUR HOUSE...

....unless you’re part of the deep state high society club that is. 💁‍♀️

👉🏻George Stephanopoulos Walking in the Hamptons After COVID-19 Diagnosis👈🏻
https://t.co/7MzkjZ8Fhf"
phillyeaglesfa1,2020-04-21 16:17:38,"Pennsylvania, USA",Twitter for Android,,"We Are Being LIED to
Los Angeles County has thousands more COVID-19 cases than reported; death rate much lower, study suggests https://t.co/oPVvnbnkeW"
MalcolmJohnMD,2020-04-21 16:17:38,"San Francisco, CA",Twitter for Android,,"Phishers are sending out fake contact-tracing messages warning people they've come into contact with infectious individuals and asking them to click a link to a malware dropper.

https://t.co/Xd4Rz4FY9q

1/ https://t.co/y7zhm3bGsM"
share1thought,2020-04-21 16:17:38,Maryland USA,Twitter for iPhone,,Everyone seeking to understand the extent of Trump’s botched response to COVID-19 must recognize that Trump wasted one of the country’s best weapons to fight a pandemic: The Strategic National Stockpile of protective equipment. https://t.co/5ABsuqCZnr
